# LAMMPS data file written by OVITO
6144 atoms
1 atom types
-9.7023602 9.7023716 xlo xhi
-41.3437996 41.3437996 ylo yhi
-44.8151016 44.8151016 zlo zhi
0.0 1.22973 0.0 xy xz yz

Atoms

510 1 -4.85393 -12.9179002 -37.3460999
511 1 -3.24175 -15.5017996 -36.4127998
512 1 -3.23596 -12.9176998 -34.5451012
529 1 -8.08535 -10.3341999 -39.2130013
530 1 -8.0803003 -7.7504602 -37.345501
531 1 -6.4669299 -10.3340998 -36.4118996
532 1 -6.4590502 -7.7502699 -34.5442009
533 1 -4.8512302 -10.3341999 -39.2130013
534 1 -4.84618 -7.7504602 -37.345501
535 1 -3.23281 -10.3340998 -36.4118996
536 1 -3.2249301 -7.7502699 -34.5442009
553 1 -8.0817499 -5.1669698 -39.2126999
554 1 -8.0761499 -2.5834301 -37.3451996
555 1 -6.46104 -5.1668701 -36.4113007
556 1 -6.4531498 -2.58336 -34.5437012
557 1 -4.84763 -5.1669698 -39.2126999
558 1 -4.84203 -2.5834301 -37.3451996
559 1 -3.2269199 -5.1668701 -36.4113007
560 1 -3.2190299 -2.58336 -34.5437012
770 1 -8.1719704 -38.7599983 -31.7462998
772 1 -6.5778799 -38.7602005 -28.9458008
774 1 -4.93785 -38.7599983 -31.7462998
3153 1 -1.84512 -25.8003998 -0.0299387
776 1 -3.34376 -38.7602005 -28.9458008
3149 1 -5.0792398 -25.8003998 -0.0299387
3145 1 -8.3133602 -25.8003998 -0.0299387
2503 1 -2.9347302 -4.69027e-13 -8.3869105
2501 1 -4.6184101 -4.7607904e-13 -11.1880999
2499 1 -6.16885 -4.69063e-13 -8.3869105
2497 1 -7.85253 -4.7609196e-13 -11.1880999
793 1 -8.1478996 -36.1758995 -33.6133995
794 1 -8.1632099 -33.5919991 -31.7467003
795 1 -6.5502601 -36.1762009 -30.8129006
796 1 -6.5662599 -33.5924988 -28.9463998
797 1 -4.9137802 -36.1758995 -33.6133995
798 1 -4.92909 -33.5919991 -31.7467003
799 1 -3.3161399 -36.1762009 -30.8129006
800 1 -3.33214 -33.5924988 -28.9463998
817 1 -8.1388102 -31.0074997 -33.6138001
818 1 -8.14713 -28.4235001 -31.7469006
819 1 -6.5378299 -31.0079994 -30.8136006
820 1 -6.54496 -28.4239006 -28.9470006
821 1 -4.9046898 -31.0074997 -33.6138001
822 1 -4.9130102 -28.4235001 -31.7469006
823 1 -3.30371 -31.0079994 -30.8136006
824 1 -3.3108399 -28.4239006 -28.9470006
841 1 -8.12531 -25.8388005 -33.6138993
842 1 -8.1264 -23.2544994 -31.7467003
843 1 -6.5194102 -25.8391 -30.8139992
844 1 -6.51756 -23.2546005 -28.9468002
845 1 -4.8911902 -25.8388005 -33.6138993
846 1 -4.8922802 -23.2544994 -31.7467003
847 1 -3.28529 -25.8391 -30.8139992
848 1 -3.2834401 -23.2546005 -28.9468002
865 1 -8.1096096 -20.6700001 -33.6133003
866 1 -8.1044197 -18.0855999 -31.7457009
867 1 -6.4980302 -20.6699009 -30.8132992
868 1 -6.4886599 -18.0853004 -28.9454994
869 1 -4.8754902 -20.6700001 -33.6133003
870 1 -4.8702998 -18.0855999 -31.7457009
871 1 -3.2639101 -20.6699009 -30.8132992
872 1 -3.25454 -18.0853004 -28.9454994
889 1 -8.0942001 -15.5016003 -33.6122017
890 1 -8.0846205 -12.9174004 -31.7443009
891 1 -6.47715 -15.5011997 -30.8115998
892 1 -6.4628101 -12.9168998 -28.9433994
893 1 -4.8600798 -15.5016003 -33.6122017
894 1 -4.8505002 -12.9174004 -31.7443009
895 1 -3.2430301 -15.5011997 -30.8115998
896 1 -3.2286899 -12.9168998 -28.9433994
913 1 -8.0813799 -10.3338003 -33.6108017
914 1 -8.0698204 -7.74996 -31.7429009
915 1 -6.4598599 -10.3333998 -30.8097
916 1 -6.4436202 -7.7495499 -28.9414998
917 1 -4.84726 -10.3338003 -33.6108017
